PLAYER_NAME,PLAYER_ID,TEAM
Xavier Cooks,1641645,Wizards
Isaiah Todd,1630225,Wizards
Anthony Gill,1630264,Wizards
Kendrick Nunn,1629134,Wizards
Daniel Gafford,1629655,Wizards
Monté Morris,1628420,Wizards
Corey Kispert,1630557,Wizards
Quenton Jackson,1631245,Wizards
Kyle Kuzma,1628398,Wizards
Jay Huff,1630643,Wizards
Delon Wright,1626153,Wizards
Taj Gibson,201959,Wizards
Jalen Duren,1631105,Pistons
Cade Cunningham,1630595,Pistons
Alec Burks,202692,Pistons
Hamidou Diallo,1628977,Pistons
Killian Hayes,1630165,Pistons
Jared Rhoden,1631197,Pistons
Isaiah Livers,1630587,Pistons
James Wiseman,1630164,Pistons
R.J. Hampton,1630181,Pistons
Rodney McGruder,203585,Pistons
Cory Joseph,202709,Pistons
Jaden Ivey,1631093,Pistons
Buddy Boeheim,1631205,Pistons
Isaiah Stewart,1630191,Pistons
Marvin Bagley III,1628963,Pistons
Bojan Bogdanović,202711,Pistons
Eugene Omoruyi,1630647,Pistons
LaMelo Ball,1630163,Hornets
James Bouknight,1630547,Hornets
Terry Rozier,1626179,Hornets
Nick Richards,1630208,Hornets
Mark Williams,1631109,Hornets
Bryce McGowens,1631121,Hornets
Dennis Smith Jr.,1628372,Hornets
Theo Maledon,1630177,Hornets
Cody Martin,1628998,Hornets
Kelly Oubre Jr.,1626162,Hornets
Svi Mykhailiuk,1629004,Hornets
Xavier Sneed,1630270,Hornets
Gordon Hayward,202330,Hornets
JT Thor,1630550,Hornets
Kobi Simmons,1628424,Hornets
Kai Jones,1630539,Hornets
P.J. Washington,1629023,Hornets
